,year,metrodiv_title,county_name,CoC_Code,coc_name,Pop_Type,Pop_Size
1114,2012,Los Angeles-Long Beach-Glendale,Los Angeles County,CA-600,Los Angeles City & County CoC,overall_homeless,31553
1115,2013,Los Angeles-Long Beach-Glendale,Los Angeles County,CA-600,Los Angeles City & County CoC,overall_homeless,35524
1116,2014,Los Angeles-Long Beach-Glendale,Los Angeles County,CA-600,Los Angeles City & County CoC,overall_homeless,34393
1117,2015,Los Angeles-Long Beach-Glendale,Los Angeles County,CA-600,Los Angeles City & County CoC,overall_homeless,41174
1118,2016,Los Angeles-Long Beach-Glendale,Los Angeles County,CA-600,Los Angeles City & County CoC,overall_homeless,43854
1119,2017,Los Angeles-Long Beach-Glendale,Los Angeles County,CA-600,Los Angeles City & County CoC,overall_homeless,52442
1120,2018,Los Angeles-Long Beach-Glendale,Los Angeles County,CA-600,Los Angeles City & County CoC,overall_homeless,49955
1121,2009,"Anaheim-Santa Ana-Irvine, CA",Orange County,CA-602,"Santa Ana, Anaheim/Orange County CoC",overall_homeless,8333
1122,2010,"Anaheim-Santa Ana-Irvine, CA",Orange County,CA-602,"Santa Ana, Anaheim/Orange County CoC",overall_homeless,8333
1123,2011,"Anaheim-Santa Ana-Irvine, CA",Orange County,CA-602,"Santa Ana, Anaheim/Orange County CoC",overall_homeless,6939
1124,2012,"Anaheim-Santa Ana-Irvine, CA",Orange County,CA-602,"Santa Ana, Anaheim/Orange County CoC",overall_homeless,7010
1125,2013,"Anaheim-Santa Ana-Irvine, CA",Orange County,CA-602,"Santa Ana, Anaheim/Orange County CoC",overall_homeless,4251
1126,2014,"Anaheim-Santa Ana-Irvine, CA",Orange County,CA-602,"Santa Ana, Anaheim/Orange County CoC",overall_homeless,3833
1127,2015,"Anaheim-Santa Ana-Irvine, CA",Orange County,CA-602,"Santa Ana, Anaheim/Orange County CoC",overall_homeless,4452
1128,2016,"Anaheim-Santa Ana-Irvine, CA",Orange County,CA-602,"Santa Ana, Anaheim/Orange County CoC",overall_homeless,4319
1129,2017,"Anaheim-Santa Ana-Irvine, CA",Orange County,CA-602,"Santa Ana, Anaheim/Orange County CoC",overall_homeless,4792
1130,2018,"Anaheim-Santa Ana-Irvine, CA",Orange County,CA-602,"Santa Ana, Anaheim/Orange County CoC",overall_homeless,4955
1131,2009,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC-500,District of Columbia CoC,overall_homeless,6228
1132,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC-500,District of Columbia CoC,overall_homeless,6539
1133,2011,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC-500,District of Columbia CoC,overall_homeless,6546
1134,2012,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC-500,District of Columbia CoC,overall_homeless,6954
1135,2013,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC-500,District of Columbia CoC,overall_homeless,6865
1136,2014,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC-500,District of Columbia CoC,overall_homeless,7748
1137,2015,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC-500,District of Columbia CoC,overall_homeless,7298
1138,2016,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC-500,District of Columbia CoC,overall_homeless,8350
1139,2017,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC-500,District of Columbia CoC,overall_homeless,7473
1140,2018,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,DC-500,District of Columbia CoC,overall_homeless,6904
1141,2009,"Miami-Miami Beach-Kendall, FL",Miami-Dade County,FL-600,Miami-Dade County CoC,overall_homeless,4333
1142,2010,"Miami-Miami Beach-Kendall, FL",Miami-Dade County,FL-600,Miami-Dade County CoC,overall_homeless,3879
1143,2011,"Miami-Miami Beach-Kendall, FL",Miami-Dade County,FL-600,Miami-Dade County CoC,overall_homeless,3817
1144,2012,"Miami-Miami Beach-Kendall, FL",Miami-Dade County,FL-600,Miami-Dade County CoC,overall_homeless,3976
1145,2013,"Miami-Miami Beach-Kendall, FL",Miami-Dade County,FL-600,Miami-Dade County CoC,overall_homeless,3802
1146,2014,"Miami-Miami Beach-Kendall, FL",Miami-Dade County,FL-600,Miami-Dade County CoC,overall_homeless,4156
1147,2015,"Miami-Miami Beach-Kendall, FL",Miami-Dade County,FL-600,Miami-Dade County CoC,overall_homeless,4152
1148,2016,"Miami-Miami Beach-Kendall, FL",Miami-Dade County,FL-600,Miami-Dade County CoC,overall_homeless,4235
1149,2017,"Miami-Miami Beach-Kendall, FL",Miami-Dade County,FL-600,Miami-Dade County CoC,overall_homeless,3721
1150,2018,"Miami-Miami Beach-Kendall, FL",Miami-Dade County,FL-600,Miami-Dade County CoC,overall_homeless,3516
1151,2009,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Broward County,FL-601,Ft Lauderdale/Broward County CoC,overall_homeless,3225
1152,2010,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Broward County,FL-601,Ft Lauderdale/Broward County CoC,overall_homeless,3225
1153,2011,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Broward County,FL-601,Ft Lauderdale/Broward County CoC,overall_homeless,3801
1154,2012,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Broward County,FL-601,Ft Lauderdale/Broward County CoC,overall_homeless,3183
1155,2013,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Broward County,FL-601,Ft Lauderdale/Broward County CoC,overall_homeless,2810
1156,2014,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Broward County,FL-601,Ft Lauderdale/Broward County CoC,overall_homeless,2766
1157,2015,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Broward County,FL-601,Ft Lauderdale/Broward County CoC,overall_homeless,2615
1158,2016,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Broward County,FL-601,Ft Lauderdale/Broward County CoC,overall_homeless,2302
1159,2017,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Broward County,FL-601,Ft Lauderdale/Broward County CoC,overall_homeless,2450
1160,2018,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Broward County,FL-601,Ft Lauderdale/Broward County CoC,overall_homeless,2318
1161,2009,"West Palm Beach-Boca Raton-Boynton Beach, FL",Palm Beach County,FL-605,West Palm Beach/Palm Beach County CoC,overall_homeless,2147
1162,2010,"West Palm Beach-Boca Raton-Boynton Beach, FL",Palm Beach County,FL-605,West Palm Beach/Palm Beach County CoC,overall_homeless,2147
1163,2011,"West Palm Beach-Boca Raton-Boynton Beach, FL",Palm Beach County,FL-605,West Palm Beach/Palm Beach County CoC,overall_homeless,2148
1164,2012,"West Palm Beach-Boca Raton-Boynton Beach, FL",Palm Beach County,FL-605,West Palm Beach/Palm Beach County CoC,overall_homeless,2116
1165,2013,"West Palm Beach-Boca Raton-Boynton Beach, FL",Palm Beach County,FL-605,West Palm Beach/Palm Beach County CoC,overall_homeless,1559
1166,2014,"West Palm Beach-Boca Raton-Boynton Beach, FL",Palm Beach County,FL-605,West Palm Beach/Palm Beach County CoC,overall_homeless,1596
1167,2015,"West Palm Beach-Boca Raton-Boynton Beach, FL",Palm Beach County,FL-605,West Palm Beach/Palm Beach County CoC,overall_homeless,1421
1168,2016,"West Palm Beach-Boca Raton-Boynton Beach, FL",Palm Beach County,FL-605,West Palm Beach/Palm Beach County CoC,overall_homeless,1332
1169,2017,"West Palm Beach-Boca Raton-Boynton Beach, FL",Palm Beach County,FL-605,West Palm Beach/Palm Beach County CoC,overall_homeless,1607
1170,2018,"West Palm Beach-Boca Raton-Boynton Beach, FL",Palm Beach County,FL-605,West Palm Beach/Palm Beach County CoC,overall_homeless,1309
1171,2009,Chicago-Naperville-Evanston,McHenry County,IL-500,McHenry County CoC,overall_homeless,257
1172,2010,Chicago-Naperville-Evanston,McHenry County,IL-500,McHenry County CoC,overall_homeless,212
1173,2011,Chicago-Naperville-Evanston,McHenry County,IL-500,McHenry County CoC,overall_homeless,182
1174,2012,Chicago-Naperville-Evanston,McHenry County,IL-500,McHenry County CoC,overall_homeless,196
1175,2013,Chicago-Naperville-Evanston,McHenry County,IL-500,McHenry County CoC,overall_homeless,185
1176,2014,Chicago-Naperville-Evanston,McHenry County,IL-500,McHenry County CoC,overall_homeless,166
1177,2015,Chicago-Naperville-Evanston,McHenry County,IL-500,McHenry County CoC,overall_homeless,177
1178,2016,Chicago-Naperville-Evanston,McHenry County,IL-500,McHenry County CoC,overall_homeless,154
